aX,aY,aZ,gX,gY,gZ
1.037,0.515,0.020,1.221,-10.742,15.137
0.894,0.593,-0.066,-14.893,-25.574,16.968
0.722,0.626,-0.172,-24.048,-40.588,22.705
0.471,0.722,-0.231,-24.231,-50.476,28.442
0.344,0.895,-0.315,-18.677,-48.096,30.518
0.426,1.084,-0.436,-9.033,-36.682,29.175
0.566,1.165,-0.466,5.371,-21.362,29.907
0.675,1.092,-0.262,17.029,-5.188,33.691
0.797,0.876,-0.041,19.958,1.526,37.109
0.879,0.659,0.012,18.921,-6.042,39.368
0.843,0.546,-0.059,19.836,-22.766,41.077
0.822,0.479,-0.213,21.057,-36.072,41.077
0.843,0.465,-0.306,20.752,-38.635,39.185
0.840,0.500,-0.261,21.790,-35.156,37.842
0.776,0.571,-0.130,22.034,-34.058,37.170
0.671,0.677,-0.033,18.738,-38.696,36.194
0.572,0.774,-0.017,18.555,-46.692,35.828
0.551,0.842,-0.082,20.813,-52.185,35.217
